-0.976592	1.037629	-0.549333	5.005035	-1.709036	0.061037	-1.831110	0.488296	-1.098666	-3.479110	2.685629	-0.305185	-8.423108	4.211554	0.061037	-1.770073	1.464888	-0.915555	-1.342814	3.662221	0.366222	
-1.647999	1.647999	-0.610370	4.272591	-1.281777	-0.244148	-2.624592	0.854518	-1.281777	-4.333628	3.112888	-0.366222	-8.728293	3.601184	0.671407	-2.319407	2.258369	-0.976592	-2.075258	3.784295	0.976592	
-2.136296	1.281777	-0.671407	3.967406	-1.647999	-0.366222	-2.990814	0.488296	-1.281777	-4.638813	2.746666	-0.366222	-8.606219	3.112888	0.610370	-2.685629	2.014221	-1.159703	-2.197333	3.418073	0.671407	
-2.258369	0.915555	-0.793481	4.028443	-2.014221	-0.427259	-2.990814	0.488296	-1.281777	-4.638813	2.319407	-0.427259	-8.545182	2.929777	0.244148	-2.746666	1.647999	-1.342814	-2.136296	3.234962	0.366222	
-2.197333	0.427259	-0.915555	4.272591	-2.502518	-0.488296	-2.624592	-0.427259	-1.342814	-4.333628	1.770073	-0.549333	-8.423108	2.746666	-0.183111	-2.746666	1.159703	-1.525925	-2.075258	2.929777	-0.061037	
-2.197333	0.427259	-0.915555	4.272591	-2.502518	-0.488296	-2.624592	-0.427259	-1.342814	-4.333628	1.770073	-0.549333	-8.423108	2.746666	-0.183111	-2.746666	1.159703	-1.525925	-2.075258	2.929777	-0.061037	
-1.770073	-0.671407	-1.037629	4.760887	-3.601184	-0.427259	-2.136296	-1.403851	-1.281777	-3.845332	0.793481	-0.549333	-7.934812	2.441481	-1.342814	-2.685629	0.610370	-1.709036	-1.586962	2.380444	-0.915555	
-1.770073	-0.671407	-1.037629	4.760887	-3.601184	-0.427259	-2.136296	-1.403851	-1.281777	-3.845332	0.793481	-0.549333	-7.934812	2.441481	-1.342814	-2.685629	0.610370	-1.709036	-1.586962	2.380444	-0.915555	
-1.586962	-1.342814	-1.037629	5.310220	-4.089480	-0.183111	-1.525925	-1.892147	-1.159703	-3.112888	0.305185	-0.549333	-7.568590	2.685629	-2.014221	-2.258369	-0.671407	-1.831110	-1.037629	2.197333	-1.403851	
-1.586962	-1.342814	-1.037629	5.310220	-4.089480	-0.183111	-1.525925	-1.892147	-1.159703	-3.112888	0.305185	-0.549333	-7.568590	2.685629	-2.014221	-2.258369	-0.671407	-1.831110	-1.037629	2.197333	-1.403851	
