0.383923	0.363314	-0.226064
0.384128	0.363174	-0.225755
0.384088	0.363212	-0.225772
0.384017	0.363555	-0.225529
0.383896	0.363629	-0.225753
0.383593	0.363860	-0.225942
0.384139	0.363282	-0.225669
0.384169	0.363506	-0.225637
0.384354	0.363390	-0.225375
0.384429	0.363421	-0.225323
0.384464	0.363892	-0.224598
0.384283	0.364002	-0.224945
0.384957	0.363577	-0.224331
0.385005	0.363529	-0.224353
0.384895	0.363883	-0.224226
0.385106	0.363574	-0.224210
0.385303	0.363549	-0.224020
0.385650	0.363444	-0.223650
0.385511	0.363744	-0.223671
0.386011	0.363331	-0.223225
0.385497	0.363848	-0.223672
0.385766	0.363702	-0.223287
0.385777	0.363582	-0.223367
0.386433	0.363413	-0.222723
0.386290	0.363759	-0.222335
0.386589	0.363859	-0.221717
0.386981	0.363480	-0.221528
0.386218	0.364146	-0.222100
0.386695	0.363728	-0.221793
0.386695	0.363519	-0.222242
0.386299	0.363958	-0.222308
0.385901	0.364131	-0.222837
0.386511	0.364057	-0.221645
0.386523	0.363819	-0.222013
0.386478	0.364138	-0.221893
0.386635	0.364019	-0.221514
0.386683	0.363950	-0.221658
0.386759	0.363921	-0.221486
0.386092	0.364222	-0.222318
0.386986	0.363686	-0.221242
0.386399	0.364098	-0.221881
0.386789	0.364232	-0.220968
0.386762	0.364255	-0.220945
0.386932	0.364467	-0.220448
0.387169	0.363951	-0.220752
0.387284	0.363933	-0.220526
0.387510	0.363829	-0.220068
0.387051	0.364392	-0.220215
0.387311	0.364380	-0.219461
0.387201	0.364579	-0.219366
0.387143	0.364862	-0.219083
0.387021	0.365126	-0.218932
0.387242	0.365093	-0.218398
0.387249	0.365181	-0.218064
0.386928	0.365570	-0.218060
0.386973	0.365805	-0.217402
0.386762	0.366419	-0.216923
0.385620	0.367701	-0.216904
0.385146	0.367955	-0.217522
0.384824	0.368193	-0.217427
0.384097	0.368686	-0.218366
0.383306	0.369376	-0.218951
0.382014	0.370348	-0.219875
0.380855	0.371380	-0.220604
